Airport code,City,State,Airport name ,data source id,ranking,,,,,Airport used 
JST,Johnstown, PA, John Murtha Johnstown-Cambria County (JST),#REF!,,FALSE,FALSE,'JST',0,FALSE
JLN,Joplin, MO, Joplin Regional (JLN),#REF!,,FALSE,FALSE,'JLN',0,FALSE
JNU,Juneau, AK, Juneau International (JNU),#REF!,,FALSE,FALSE,'JNU',0,FALSE
OGG,Kahului, HI, Kahului Airport (OGG),#REF!,,FALSE,FALSE,'OGG',0,FALSE
AZO,Kalamazoo, MI, Kalamazoo/Battle Creek International (AZO),#REF!,,FALSE,FALSE,'AZO',0,FALSE
FCA,Kalispell, MT, Glacier Park International (FCA),#REF!,,FALSE,FALSE,'FCA',0,FALSE
IAD,Washington, DC, Washington Dulles International (IAD),#REF!,1,#REF!,FALSE,'IAD',1,IAD
IAG,Niagara Falls, NY, Niagara Falls International (IAG),#REF!,2,FALSE,#REF!,'IAG',1,IAG
EAR,Kearney, NE, Kearney Regional (EAR),#REF!,,FALSE,FALSE,'EAR',0,FALSE
KTN,Ketchikan, AK, Ketchikan International (KTN),#REF!,,FALSE,FALSE,'KTN',0,FALSE
EYW,Key West, FL, Key West International (EYW),#REF!,,FALSE,FALSE,'EYW',0,FALSE
GRK,Killeen, TX, Robert Gray AAF (GRK),#REF!,,FALSE,FALSE,'GRK',0,FALSE
ILE,Killeen, TX, Skylark Field (ILE),#REF!,,FALSE,FALSE,'ILE',0,FALSE
AKN,King Salmon, AK, King Salmon Airport (AKN),#REF!,,FALSE,FALSE,'AKN',0,FALSE
ISO,Kinston, NC, Kinston Regional Jetport at Stallings Field (ISO),#REF!,,FALSE,FALSE,'ISO',0,FALSE
LMT,Klamath Falls, OR, Crater Lake Klamath Regional (LMT),#REF!,,FALSE,FALSE,'LMT',0,FALSE
TYS,Knoxville, TN, McGhee Tyson (TYS),#REF!,,FALSE,FALSE,'TYS',0,FALSE
ADQ,Kodiak, AK, Kodiak Airport (ADQ),#REF!,,FALSE,FALSE,'ADQ',0,FALSE
KOA,Kona, HI, Ellison Onizuka Kona International at Keahole (KOA),#REF!,,FALSE,FALSE,'KOA',0,FALSE
ROR,Koror, Palau, Babelthuap (ROR),#REF!,,FALSE,FALSE,'ROR',0,FALSE
OTZ,Kotzebue, AK, Ralph Wien Memorial (OTZ),#REF!,,FALSE,FALSE,'OTZ',0,FALSE
LSE,La Crosse, WI, La Crosse Regional (LSE),#REF!,,FALSE,FALSE,'LSE',0,FALSE
LFT,Lafayette, LA, Lafayette Regional Paul Fournet Field (LFT),#REF!,,FALSE,FALSE,'LFT',0,FALSE
LCH,Lake Charles, LA, Lake Charles Regional (LCH),#REF!,,FALSE,FALSE,'LCH',0,FALSE
TVL,Lake Tahoe, CA, Lake Tahoe Airport (TVL),#REF!,,FALSE,FALSE,'TVL',0,FALSE
LNY,Lanai, HI, Lanai Airport (LNY),#REF!,,FALSE,FALSE,'LNY',0,FALSE
IAH,Houston, TX, George Bush Intercontinental/Houston (IAH),#REF!,1,#REF!,FALSE,'IAH',1,IAH
LAR,Laramie, WY, Laramie Regional (LAR),#REF!,,FALSE,FALSE,'LAR',0,FALSE
LRD,Laredo, TX, Laredo International (LRD),#REF!,,FALSE,FALSE,'LRD',0,FALSE
